"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","39.8","","","","1"
"1986-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","40.3","","","","1"
"1986-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","40.6","","","","1"
"1986-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","40.8","","","","1"
"1986-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","41.1","","","","1"
"1986-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","41.3","","","","1"
"1986-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","41.6","","","","1"
"1986-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","42.0","","","","1"
"1986-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","42.8","","","","1"
"1986-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","43.2","","","","1"
"1986-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","43.8","","","","1"
"1986-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","44.0","","","","1"
"1987-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","44.4","","","","1"
"1987-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","45.2","","","","1"
"1987-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","46.6","","","","1"
"1987-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","47.1","","","","1"
"1987-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","47.5","","","","1"
"1987-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","47.7","","","","1"
"1987-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","48.0","","","","1"
"1987-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","48.2","","","","1"
"1987-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","48.7","","","","1"
"1987-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","48.9","","","","1"
"1987-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","49.1","","","","1"
"1987-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units","0","v111955442","1.1","49.1","","","","1"
